Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Baggi S Leggings : 2 バギィの上鱗, 6 バギィの皮, 7 上質な鳥竜骨, 3 グラシスメタル
Urkusus S Helm : 2 白兎獣の大耳, 2 堅牢な骨, 5 バギィの皮, 3 グラシスメタル
Urkusus S Mail : 3 白兎獣の堅腹甲, 3 白獣獣の剛毛, 6 バギィの上鱗, 2 王族カナブン
Urkusus S Vambraces : 2 白兎獣の凍爪, 3 白兎獣の毛, 3 白兎獣の堅腹甲, 2 王族カナブン
Urkusus S Faulds : 3 白兎獣の剛毛, 2 白兎獣の凍爪, 3 堅牢な骨, 8 ドスヘラクレス
Urkusus S Greaves : 3 白兎獣の剛毛, 3 白兎獣の堅腹甲, 1 白兎獣の凍爪, 8 なめらかな皮
Urkusus S Cap : 2 白兎獣の大耳, 2 堅牢な骨, 5 バギィの皮, 3 グラシスメタル
Urkusus S Vest : 3 白兎獣の堅腹甲, 3 白獣獣の剛毛, 6 バギィの上鱗, 2 王族カナブン
Urkusus S Guards : 2 白兎獣の凍爪, 3 白兎獣の毛, 3 白兎獣の堅腹甲, 2 王族カナブン
Urkusus S Coat : 3 白兎獣の剛毛, 2 白兎獣の凍爪, 3 堅牢な骨, 8 ドスヘラクレス
Urkusus S Leggings : 3 白兎獣の剛毛, 3 白兎獣の堅腹甲, 1 白兎獣の凍爪, 8 なめらかな皮
Qurupeco S Helm : 2 ステキなクチバシ, 2 彩鳥の翼, 1 上竜骨, 3 ドスヘラクレス
Qurupeco S Mail : 3 彩鳥の上鱗, 2 極彩色の羽根, 1 上竜骨, 2 王族カナブン
Qurupeco S Vambraces : 3 彩鳥の上鱗, 1 火打石, 4 彩鳥の羽根, 2 王族カナブン
Qurupeco S Coil : 2 彩鳥の翼, 3 彩鳥の上鱗, 1 尖竜骨, 5 キラビートル
Qurupeco S Greaves : 3 彩鳥の翼, 3 彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
Qurupeco S Cap : 2 ステキなクチバシ, 2 彩鳥の翼, 1 上竜骨, 3 ドスヘラクレス
Qurupeco S Vest : 3 彩鳥の上鱗, 2 極彩色の羽根, 1 上竜骨, 2 王族カナブン
Qurupeco S Guards : 3 彩鳥の上鱗, 1 火打石, 4 彩鳥の羽根, 2 王族カナブン
Qurupeco S Coat : 2 彩鳥の翼, 3 彩鳥の上鱗, 1 尖竜骨, 5 キラビートル
Qurupeco S Leggings : 3 彩鳥の翼, 3 彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
Qurupeco U Helm : 1 紅彩鳥の翼, 3 ステキなクチバシ, 2 上竜骨, 2 王族カナブン
Qurupeco U Mail : 3 紅彩鳥の上鱗, 2 極彩色の羽根, 1 尖竜骨, 2 王族カナブン
Qurupeco U Vambraces : 3 電気石, 3 紅彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
Qurupeco U Coil : 3 紅彩鳥の翼, 3 紅彩鳥の上鱗, 1 尖竜骨, 3 ドスヘラクレス
Qurupeco U Greaves : 3 紅彩鳥の上鱗, 2 紅彩鳥の翼, 1 竜玉, 5 キラビートル
Qurupeco U Cap : 1 紅彩鳥の翼, 3 ステキなクチバシ, 2 上竜骨, 2 王族カナブン
Qurupeco U Vest : 3 紅彩鳥の上鱗, 2 極彩色の羽根, 1 尖竜骨, 2 王族カナブン
Qurupeco U Guards : 3 電気石, 3 紅彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
Qurupeco U Coat : 3 紅彩鳥の翼, 3 紅彩鳥の上鱗, 1 尖竜骨, 3 ドスヘラクレス
Qurupeco U Leggings : 3 紅彩鳥の上鱗, 2 紅彩鳥の翼, 1 竜玉, 5 キラビートル
Ludroth S Helm : 2 高級なトサカ, 3 水獣の上鱗, 1 水獣の尻尾, 2 大水袋
Ludroth S Mail : 3 海綿質の上皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth S Vambraces : 3 水獣の鋭爪, 4 水獣の上鱗, 2 海綿質の上皮, 5 ドスヘラクレス
Ludroth S Faulds : 4 水生獣の上皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth S Greaves : 2 水獣の鋭爪, 3 水獣の上鱗, 3 海綿質の上皮, 5 キラビートル
Ludroth S Cap : 2 高級なトサカ, 3 水獣の上鱗, 1 水獣の尻尾, 2 大水袋
Ludroth S Vest : 3 海綿質の上皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth S Guards : 3 水獣の鋭爪, 4 水獣の上鱗, 2 海綿質の上皮, 5 ドスヘラクレス
Ludroth S Coat : 4 水生獣の上皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth S Leggings : 2 水獣の鋭爪, 3 水獣の上鱗, 3 海綿質の上皮, 5 キラビートル
Ludroth U Helm : 3 紫水獣の上鱗, 3 高級なトサカ, 1 水獣の尻尾, 5 ドスヘラクレス
Ludroth U Mail : 3 海綿質の紫皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth U Vambraces : 4 紫水獣の鋭爪, 2 海綿質の紫皮, 2 紫水獣の上鱗, 2 大水袋
Ludroth U Faulds : 3 海綿質の紫皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth U Greaves : 3 紫水獣の鋭爪, 3 紫水獣の上鱗, 3 水生獣の上皮, 5 キラビートル
Ludroth U Cap : 3 紫水獣の上鱗, 3 高級なトサカ, 1 水獣の尻尾, 5 ドスヘラクレス
Ludroth U Vest : 3 海綿質の紫皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth U Guards : 4 紫水獣の鋭爪, 2 海綿質の紫皮, 2 紫水獣の上鱗, 2 大水袋
Ludroth U Coat : 3 海綿質の紫皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth U Leggings : 3 紫水獣の鋭爪, 3 紫水獣の上鱗, 3 水生獣の上皮, 5 キラビートル
Ranguro S Helm : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 3 モンスターの濃汁, 2 紅蓮石
Ranguro S Mail : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 2 堅牢な骨, 3 カブレライト鉱石
Ranguro S Vambraces : 3 赤甲獣の尖爪, 6 強力麻痺袋, 3 堅牢な骨, 5 ドラグライト鉱石
Ranguro S Faulds : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 3 モンスターの濃汁, 2 紅蓮石
Ranguro S Greaves : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 1 赤甲獣の蛇腹甲, 2 ユニオン鉱石
Ranguro S Cap : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 3 モンスターの濃汁, 2 紅蓮石
Ranguro S Vest : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 2 堅牢な骨, 3 カブレライト鉱石
Ranguro S Guards : 3 赤甲獣の尖爪, 6 強力麻痺袋, 3 堅牢な骨, 5 ドラグライト鉱石
Ranguro S Coat : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 3 モンスターの濃汁, 2 紅蓮石
Ranguro S Leggings : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 1 赤甲獣の蛇腹甲, 2 ユニオン鉱石
Obituary Testa/Butterfly Testa : 3 マレコガネ, 1 オオクワアゲハ, 3 超電雷光虫, 10 不死虫
Obituary Petto/Butterfly Petto : 2 マレコガネ, 2 オオクワアゲハ, 2 ハナスズムシ, 10 セッチャクロアリ
Obituary Mano/Butterfly Mano : 3 マレコガネ, 1 オオクワアゲハ, 5 アルビノエキス, 10 にが虫
Obituary Anca/Butterfly Anca : 2 マレコガネ, 2 オオクワアゲハ, 10 光蟲, 10 ボンバッタ
Obituary Gamba/Butterfly Gamba : 3 マレコガネ, 1 オオクワアゲハ, 3 モンスターの濃汁, 10 ツチハチノコ
Obituary Caput/Butterfly Caput : 3 マレコガネ, 1 オオクワアゲハ, 3 超電雷光虫, 10 不死虫
Obituary Pectus/Butterfly Pectus : 2 マレコガネ, 2 オオクワアゲハ, 2 ハナスズムシ, 10 セッチャクロアリ
Obituary Brasso/Butterfly Brasso : 3 マレコガネ, 1 オオクワアゲハ, 5 アルビノエキス, 10 にが虫
Obituary Cocusa/Butterfly Cocusa : 2 マレコガネ, 2 オオクワアゲハ, 10 光蟲, 10 ボンバッタ
Obituary Femur/Butterfly Femur : 3 マレコガネ, 1 オオクワアゲハ, 3 モンスターの濃汁, 10 ツチハチノコ
Barroth S Helm : 4 土砂竜の堅甲, 2 土砂竜の堅殻, 5 肥沃なドロ, 4 ジャギィの鱗
Barroth S Mail : 4 土砂竜の堅甲, 3 土砂竜の頭殻, 5 肥沃なドロ, 3 草食竜の堅殻
Barroth S Vambraces : 4 土砂竜の鋭爪, 2 土砂竜の堅殻, 2 上竜骨, 4 ジャギィの鱗
Barroth S Faulds : 2 土砂竜の堅殻, 3 土砂竜の堅甲, 2 上竜骨, 5 草食竜の堅殻
Barroth S Greaves : 3 土砂竜の堅殻, 1 土砂竜の尻尾, 3 尖竜骨, 4 ジャギィの上鱗
Barroth S Cap : 4 土砂竜の堅甲, 2 土砂竜の堅殻, 5 肥沃なドロ, 4 ジャギィの鱗
Barroth S Vest : 4 土砂竜の堅甲, 3 土砂竜の頭殻, 5 肥沃なドロ, 3 草食竜の堅殻
Barroth S Guards : 4 土砂竜の鋭爪, 2 土砂竜の堅殻, 2 上竜骨, 4 ジャギィの鱗
Barroth S Coat : 2 土砂竜の堅殻, 3 土砂竜の堅甲, 2 上竜骨, 5 草食竜の堅殻
Barroth S Leggings : 3 土砂竜の堅殻, 1 土砂竜の尻尾, 3 尖竜骨, 4 ジャギィの上鱗
Barroth U Helm : 5 氷砕竜の堅甲, 3 氷砕竜の堅殻, 5 凍った粘液塊, 5 白兎獣の毛
Barroth U Mail : 3 氷砕竜の頭殻, 4 氷砕竜の堅甲, 5 凍った粘液塊, 4 白兎獣の腹甲
Barroth U Vambraces : 4 氷砕竜の鋭爪, 2 氷砕竜の堅殻, 2 上竜骨, 3 眠狗竜の上皮
Barroth U Faulds : 3 氷砕竜の堅殻, 4 氷砕竜の堅甲, 2 尖竜骨, 4 白兎獣の剛毛
Barroth U Greaves : 3 氷砕竜の堅殻, 1 氷砕竜の尻尾, 3 氷砕竜の鋭爪, 3 白兎獣の堅腹甲
Barroth U Cap : 5 氷砕竜の堅甲, 3 氷砕竜の堅殻, 5 凍った粘液塊, 5 白兎獣の毛
Barroth U Vest : 3 氷砕竜の頭殻, 4 氷砕竜の堅甲, 5 凍った粘液塊, 4 白兎獣の腹甲
Barroth U Guards : 4 氷砕竜の鋭爪, 2 氷砕竜の堅殻, 2 上竜骨, 3 眠狗竜の上皮
Barroth U Coat : 3 氷砕竜の堅殻, 4 氷砕竜の堅甲, 2 尖竜骨, 4 白兎獣の剛毛
Barroth U Leggings : 3 氷砕竜の堅殻, 1 氷砕竜の尻尾, 3 氷砕竜の鋭爪, 3 白兎獣の堅腹甲
Gobul S Helm : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜のヒゲ, 3 上竜骨
Gobul S Mail : 2 灯魚竜の上ヒレ, 2 灯魚竜の上棘, 3 灯魚竜の皮, 3 鳥竜玉
Gobul S Vambraces : 4 灯魚竜の上皮, 2 灯魚竜の上棘, 3 灯魚竜の棘, 5 竜骨【中】
Gobul S Faulds : 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 2 灯魚竜のヒレ, 5 麻痺袋
Gobul S Greaves : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 1 高級提灯球
Gobul S Cap : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜のヒゲ, 3 上竜骨
Gobul S Vest : 2 灯魚竜の上ヒレ, 2 灯魚竜の上棘, 3 灯魚竜の皮, 3 鳥竜玉
Gobul S Guards : 4 灯魚竜の上皮, 2 灯魚竜の上棘, 3 灯魚竜の棘, 5 竜骨【中】
Gobul S Coat : 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 2 灯魚竜のヒレ, 5 麻痺袋
Gobul S Leggings : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 1 高級提灯球
Pumpkin Helm : 3 王族カナブン, 4 ペピポパンプキン, 1 いにしえの秘薬, 15 マタタビ
Pumpkin Mail : 3 王族カナブン, 4 ペピポパンプキン, 2 秘薬, 15 サボテンの花
Pumpkin Vambraces : 4 王族カナブン, 5 ペピポパンプキン, 3 モンスターの濃汁, 15 トウガラシ
Pumpkin Faulds : 4 王族カナブン, 5 ペピポパンプキン, 4 飛甲虫の堅殻, 15 火薬草
Pumpkin Greaves : 4 王族カナブン, 4 ペピポパンプキン, 3 上質な腹袋, 15 ネムリ草
Pumpkin Cap : 3 王族カナブン, 4 ペピポパンプキン, 1 いにしえの秘薬, 15 マタタビ
Pumpkin Vest : 3 王族カナブン, 4 ペピポパンプキン, 2 秘薬, 15 サボテンの花
Pumpkin Guards : 4 王族カナブン, 5 ペピポパンプキン, 3 モンスターの濃汁, 15 トウガラシ
Pumpkin Coat : 4 王族カナブン, 5 ペピポパンプキン, 4 飛甲虫の堅殻, 15 火薬草
Pumpkin Leggings : 4 王族カナブン, 4 ペピポパンプキン, 3 上質な腹袋, 15 ネムリ草
Guild Bard S Lobos/Scholar's S Beret : 2 闘技王のコイン, 3 水竜のコイン, 3 飛竜のコイン, 2 勇気の証
Guild Bard S Bolero/Scholar's S Blouse : 2 闘技王のコイン, 3 水竜のコイン, 3 海竜のコイン, 2 勇気の証
Guild Bard S Braces/Scholar's S Gloves : 2 闘技王のコイン, 3 牙獣のコイン, 2 海竜のコイン, 2 勇気の証
Guild Bard S Coil/Scholar's S Skirt : 2 闘技王のコイン, 3 牙獣のコイン, 2 飛竜のコイン, 2 勇気の証
Guild Bard S Boots/Scholar's S Socks : 2 闘技王のコイン, 3 飛竜のコイン, 2 海竜のコイン, 2 勇気の証
Guild Bard S Hat/Scholar's S Cap : 2 闘技王のコイン, 3 水竜のコイン, 3 飛竜のコイン, 2 勇気の証
Guild Bard S Vest/Scholar's S Vest : 2 闘技王のコイン, 3 水竜のコイン, 3 海竜のコイン, 2 勇気の証
Guild Bard S Sleeves/Scholar's S Sleeves : 2 闘技王のコイン, 3 牙獣のコイン, 2 海竜のコイン, 2 勇気の証
Guild Bard S Coat/Scholar's S Mini : 2 闘技王のコイン, 3 牙獣のコイン, 2 飛竜のコイン, 2 勇気の証
Guild Bard S Gaiters/Scholar's S Sandals : 2 闘技王のコイン, 3 飛竜のコイン, 2 海竜のコイン, 2 勇気の証
Ingot S Helm : 2 ユニオン鉱石, 3 グラシスメタル, 2 デプスライト鉱石, 5 カブレライト鉱石
Ingot S Mail : 3 ユニオン鉱石, 2 極炎石, 2 デプスライト鉱石, 5 カブレライト鉱石
Ingot S Vambraces : 2 ユニオン鉱石, 3 グラシスメタル, 2 デプスライト鉱石, 2 溶岩塊
Ingot S Coil : 2 ユニオン鉱石, 2 獄炎石, 5 カブレライト鉱石, 2 溶岩塊
Ingot S Greaves : 3 ユニオン鉱石, 3 グラシスメタル, 1 デプスライト鉱石, 5 カブレライト鉱石
Ingot S Cap : 2 ユニオン鉱石, 3 グラシスメタル, 2 デプスライト鉱石, 5 カブレライト鉱石
Ingot S Vest : 3 ユニオン鉱石, 2 極炎石, 2 デプスライト鉱石, 5 カブレライト鉱石
Ingot S Guards : 2 ユニオン鉱石, 3 グラシスメタル, 2 デプスライト鉱石, 2 溶岩塊
Ingot S Coat : 2 ユニオン鉱石, 2 獄炎石, 5 カブレライト鉱石, 2 溶岩塊
Ingot S Leggings : 3 ユニオン鉱石, 3 グラシスメタル, 1 デプスライト鉱石, 5 カブレライト鉱石
Rathian S Helm : 2 雌火竜の上棘, 4 雌火竜の堅殻, 2 火竜の骨髄, 3 爆炎袋
Rathian S Mail : 4 雌火竜の上鱗, 1 火竜の延髄, 1 雌火竜の逆鱗, 2 紅蓮石
Rathian S Vambraces : 4 雌火竜の堅殻, 3 火竜の翼爪, 2 雌火竜の棘, 3 紅蓮石
Rathian S Faulds : 3 雌火竜の上鱗, 4 雌火竜の翼膜, 1 雌火竜の紅玉, 2 紅蓮石
Rathian S Greaves : 4 雌火竜の堅殻, 4 雌火竜の上鱗, 3 尖竜骨, 5 ドラグライト鉱石
Rathian S Cap : 2 雌火竜の上棘, 4 雌火竜の堅殻, 2 火竜の骨髄, 3 爆炎袋
Rathian S Vest : 4 雌火竜の上鱗, 1 火竜の延髄, 1 雌火竜の逆鱗, 2 紅蓮石
Rathian S Guards : 4 雌火竜の堅殻, 3 火竜の翼爪, 2 雌火竜の棘, 3 紅蓮石
Rathian S Coat : 3 雌火竜の上鱗, 4 雌火竜の翼膜, 1 雌火竜の紅玉, 2 紅蓮石
Rathian S Leggings : 4 雌火竜の堅殻, 4 雌火竜の上鱗, 3 尖竜骨, 5 ドラグライト鉱石
RioHeart Helm : 2 桜火竜の堅殻, 3 桜火竜の上鱗, 2 尖竜骨, 2 雌火竜の上鱗
RioHeart Mail : 3 桜火竜の上鱗, 2 桜火竜の堅殻, 4 カブレライト鉱石, 1 雌火竜の紅玉
RioHeart Vambraces : 2 桜火竜の堅殻, 4 桜火竜の上鱗, 3 尖竜骨, 1 雌火竜の逆鱗
RioHeart Faulds : 3 桜火竜の上鱗, 2 桜火竜の堅殻, 2 爆炎袋, 1 雌火竜の紅玉
RioHeart Greaves : 2 桜火竜の堅殻, 4 桜火竜の上鱗, 3 尖竜骨, 5 カブレライト鉱石
RioHeart Cap : 2 桜火竜の堅殻, 3 桜火竜の上鱗, 2 尖竜骨, 2 雌火竜の上鱗
RioHeart Vest : 3 桜火竜の上鱗, 2 桜火竜の堅殻, 4 カブレライト鉱石, 1 雌火竜の紅玉
RioHeart Guards : 2 桜火竜の堅殻, 4 桜火竜の上鱗, 3 尖竜骨, 1 雌火竜の逆鱗
RioHeart Coat : 3 桜火竜の上鱗, 2 桜火竜の堅殻, 2 爆炎袋, 1 雌火竜の紅玉
RioHeart Leggings : 2 桜火竜の堅殻, 4 桜火竜の上鱗, 3 尖竜骨, 5 カブレライト鉱石
Gigginox S Helm : 3 不気味な上皮, 2 猛毒袋, 5 毒怪竜の皮, 5 眠狗竜の皮
Gigginox S Mail : 2 毒怪鳥の鋭爪, 4 毒怪鳥の上皮, 3 不気味な毒線, 2 ライトクリスタル
Gigginox S Vambraces : 5 毒怪竜の上皮, 2 毒怪竜の鋭爪, 2 毒怪竜の爪, 4 グラシスメタル
Gigginox S Faulds : 5 毒怪竜の上皮, 3 不気味な猛毒腺, 2 不気味な皮, 6 アイシスメタル
Gigginox S Greaves : 3 不気味な猛毒腺, 2 不気味な上皮, 2 おそろしいクチ, 4 眠狗竜の上皮
Gigginox S Cap : 3 不気味な上皮, 2 猛毒袋, 5 毒怪竜の皮, 5 眠狗竜の皮
Gigginox S Vest : 2 毒怪鳥の鋭爪, 4 毒怪鳥の上皮, 3 不気味な毒線, 2 ライトクリスタル
Gigginox S Guards : 5 毒怪竜の上皮, 2 毒怪竜の鋭爪, 2 毒怪竜の爪, 4 グラシスメタル
Gigginox S Coat : 5 毒怪竜の上皮, 3 不気味な猛毒腺, 2 不気味な皮, 6 アイシスメタル
Gigginox S Leggings : 3 不気味な猛毒腺, 2 不気味な上皮, 2 おそろしいクチ, 4 眠狗竜の上皮
Gigginox U Helm : 4 電怪竜の上皮, 2 不気味な上皮, 5 アルビノエキス, 4 眠狗竜の上皮
Gigginox U Mail : 2 電怪鳥の鋭爪, 4 電怪鳥の上皮, 1 竜玉, 5 眠狗竜の皮
Gigginox U Vambraces : 1 電怪竜の鋭爪, 2 おそろしいクチ, 2 尖竜骨, 4 グラシスメタル
Gigginox U Faulds : 4 電怪竜の上皮, 1 電怪竜の鋭爪, 4 電撃袋, 6 アイシスメタル
Gigginox U Greaves : 4 電怪竜の上皮, 2 不気味な上皮, 2 尖竜骨, 2 ライトクリスタル
Gigginox U Cap : 4 電怪竜の上皮, 2 不気味な上皮, 5 アルビノエキス, 4 眠狗竜の上皮
Gigginox U Vest : 2 電怪竜の鋭爪, 4 電怪竜の上皮, 1 竜玉, 5 眠狗竜の皮
Gigginox U Guards : 1 電怪竜の鋭爪, 2 おそろしいクチ, 2 尖竜骨, 4 グラシスメタル
Gigginox U Coat : 4 電怪竜の上皮, 1 電怪竜の鋭爪, 4 電撃袋, 6 アイシスメタル
Gigginox U Leggings : 4 電怪竜の上皮, 2 不気味な上皮, 2 尖竜骨, 2 ライトクリスタル
Plesioth Helm : 3 水竜の上鱗, 2 水竜の上ビレ, 2 水竜のお頭, 2 灯魚竜の皮
Plesioth Mail : 3 水竜の上ビレ, 2 水竜の翼膜, 2 モンスターの濃汁, 3 王族カナブン
Plesioth Vambraces : 2 水竜の上鱗, 2 水竜の翼膜, 1 モンスターの濃汁, 3 水竜の鋭牙
Plesioth Greaves : 4 水竜の上鱗, 2 水竜の上ビレ, 3 カブレライト鉱石, 1 竜玉
Plesioth Cap : 3 水竜の上鱗, 2 水竜の上ビレ, 2 水竜のお頭, 2 灯魚竜の皮
Plesioth Vest : 3 水竜の上ビレ, 2 水竜の翼膜, 2 モンスターの濃汁, 3 王族カナブン
Plesioth Guards : 2 水竜の上鱗, 2 水竜の翼膜, 1 モンスターの濃汁, 3 水竜の鋭牙
Plesioth Leggings : 4 水竜の上鱗, 2 水竜の上ビレ, 3 カブレライト鉱石, 1 竜玉
Barioth S Helm : 2 琥珀色の鋭牙, 5 氷牙竜の上毛皮, 4 氷牙竜の甲殻, 5 凍結袋
Barioth S Mail : 4 氷牙竜の堅殻, 1 氷牙竜の尻尾, 1 竜玉, 6 白兎獣の毛
Barioth S Vambraces : 2 氷牙竜の鋭爪, 3 氷牙竜の堅殻, 4 氷牙竜の毛皮, 3 白兎獣の堅腹甲
Barioth S Faulds : 2 琥珀色の鋭牙, 4 氷牙竜の棘, 4 尖竜骨, 4 白兎獣の腹甲
Barioth S Greaves : 5 氷牙竜の上毛皮, 3 氷牙竜の堅殻, 1 氷牙竜の爪, 4 白兎獣の剛毛
Barioth S Cap : 2 琥珀色の鋭牙, 5 氷牙竜の上毛皮, 4 氷牙竜の甲殻, 5 凍結袋
Barioth S Vest : 4 氷牙竜の堅殻, 1 氷牙竜の尻尾, 1 竜玉, 6 白兎獣の毛
Barioth S Guards : 2 氷牙竜の鋭爪, 3 氷牙竜の堅殻, 4 氷牙竜の毛皮, 3 白兎獣の堅腹甲
Barioth S Coat : 2 琥珀色の鋭牙, 4 氷牙竜の棘, 4 尖竜骨, 4 白兎獣の腹甲
Barioth S Leggings : 5 氷牙竜の上毛皮, 3 氷牙竜の堅殻, 1 氷牙竜の爪, 4 白兎獣の剛毛
Barioth U Helm : 2 群青色の鋭牙, 4 風牙竜の上毛皮, 2 風牙竜の堅殻, 4 青熊獣の堅殻
Barioth U Mail : 3 風牙竜の堅殻, 1 風牙竜の尻尾, 5 尖竜骨, 2 マレコガネ
Barioth U Vambraces : 1 風牙竜の鋭爪, 3 風牙竜の堅殻, 4 風牙竜の上毛皮, 6 青熊獣の剛毛
Barioth U Faulds : 2 群青色の鋭牙, 5 強靭な胸膜, 1 竜玉, 6 草食竜の堅殻
Barioth U Greaves : 4 風牙竜の上毛皮, 3 風牙竜の堅殻, 1 風牙竜の鋭爪, 3 青熊獣の腕甲
Barioth U Cap : 2 群青色の鋭牙, 4 風牙竜の上毛皮, 2 風牙竜の堅殻, 4 青熊獣の堅殻
Barioth U Vest : 3 風牙竜の堅殻, 1 風牙竜の尻尾, 5 尖竜骨, 2 マレコガネ
Barioth U Guards : 1 風牙竜の鋭爪, 3 風牙竜の堅殻, 4 風牙竜の上毛皮, 6 青熊獣の剛毛
Barioth U Coat : 2 群青色の鋭牙, 5 強靭な胸膜, 1 竜玉, 6 草食竜の堅殻
Barioth U Leggings : 4 風牙竜の上毛皮, 3 風牙竜の堅殻, 1 風牙竜の鋭爪, 3 青熊獣の腕甲
